LB,XKLB,XM,XXMC
长江特聘教授,电力系统及其自动化,何正友,西南交通大学
长江特聘教授,防灾减灾工程及防护工程,李永乐,西南交通大学
长江特聘教授,细胞生物学,周大旺,厦门大学
长江特聘教授,控制理论与控制工程,华长春,燕山大学
长江特聘教授,世界经济,陈昆亭,云南财经大学
长江特聘教授,财政学（含税收学）,李永友,浙江财经大学
长江特聘教授,计算机软件与理论,陈刚,浙江大学
长江特聘教授,有机化学,黄飞鹤,浙江大学
长江特聘教授,马克思主义基本原理,刘同舫,浙江大学
长江特聘教授,化学工程,王靖岱,浙江大学
长江特聘教授,中国现当代文学,高玉,浙江师范大学
长江特聘教授,传播学,隋岩,中国传媒大学
长江特聘教授,物理化学,黄伟新,中国科学技术大学
长江特聘教授,信号与信息处理,李厚强,中国科学技术大学
长江特聘教授,电路与系统,吕金虎,中国科学院大学
长江特聘教授,基础数学,田野,中国科学院大学
长江特聘教授,病理学与病理生理学,王立平,中国科学院大学
长江特聘教授,生物化学与分子生物学,王艳丽,中国科学院大学
长江特聘教授,细胞生物学,朱冰,中国科学院大学
长江特聘教授,土地资源管理学,胡振琪,中国矿业大学
长江特聘教授,农业水土工程,杜太生,中国农业大学
长江特聘教授,专门史,孛尔只斤 乌云毕力格,中国人民大学
长江特聘教授,中国哲学,曹峰,中国人民大学
长江特聘教授,民商法学(含劳动法学、社会保障法学),高圣平,中国人民大学
长江特聘教授,新闻学,杨保军,中国人民大学
长江特聘教授,中共党史(含党的学说与党的建设),杨凤城,中国人民大学
长江特聘教授,马克思主义哲学,张文喜,中国人民大学
长江特聘教授,结构工程,蒋丽忠,中南大学
长江特聘教授,矿物加工工程,孙伟,中南大学
长江特聘教授,微电子学与固体电子学,刘会赟,中山大学
长江特聘教授,中外政治制度,肖滨,中山大学
长江讲座教授,机械设计与理论,Xiaozhi Hu,长安大学
长江讲座教授,结构工程,Brian Uy,重庆大学
长江讲座教授,生物医学工程,赵彦利,重庆大学
长江讲座教授,化学工艺,Susannah L. Scott,大连理工大学
长江讲座教授,信息管理,陈建清,大连理工大学
长江讲座教授,人体解剖与组织胚胎学,陈儒育,陆军军医大学（第三军医大学）
长江讲座教授,口腔临床医学,郑智明,空军军医大学（第四军医大学）
长江讲座教授,通信与信息系统,Cui Shuguang,电子科技大学
长江讲座教授,信息与运营管理,Subodha Kumar,东北财经大学
长江讲座教授,产业经济学,朝镛,东北财经大学
长江讲座教授,控制理论与控制工程,TAN KAY CHEN,东北大学
长江讲座教授,自然地理学,Zicheng Yu,东北师范大学
长江讲座教授,交通运输规划与管理,欧阳彦峰,哈尔滨工业大学
长江讲座教授,外科学（普外）,LI MIN,哈尔滨医科大学
长江讲座教授,管理科学与工程,陈新,湖南大学
长江讲座教授,物理化学,段镶锋,湖南大学
长江讲座教授,电力系统及其自动化,何海波,华中科技大学
长江讲座教授,车辆工程,Junmin Wang,吉林大学
长江讲座教授,有机化学,史晓东,吉林大学
长江讲座教授,凝聚态物理,王旭东,吉林大学
长江讲座教授,政治学理论,刘新胜,内蒙古大学
长江讲座教授,文艺学,John Storey,陕西师范大学
长江讲座教授,材料学,黄嘉兴,武汉理工大学
长江讲座教授,材料物理与化学,Hossam Haick,西安电子科技大学
长江讲座教授,网络空间安全,Nei Kato,西安电子科技大学
长江讲座教授,动力机械及工程,Henry Curran,西安交通大学
长江讲座教授,金融学（含保险学）,Iftekhar Hasan,西安交通大学
长江讲座教授,药物化学,李成龙,西安交通大学
长江讲座教授,固体力学,齐航,西安交通大学
长江讲座教授,微电子学与固体电子学,谢亚宏,西安交通大学
长江讲座教授,材料学,郑海梅,西安交通大学
长江讲座教授,水文学及水资源,蔡喜明,西安理工大学
长江讲座教授,控制理论与控制工程,张友民,西安理工大学
长江讲座教授,中国考古,Lothar von Falkenhausen,西北大学
长江讲座教授,地球化学,张同伟,西北大学
长江讲座教授,材料物理与化学,冯新亮,西北工业大学
长江讲座教授,无机化学,刘小钢,西北工业大学
长江讲座教授,计算机软件与理论,沈春华,西北工业大学
长江讲座教授,农业电气化与自动化,李长缨,西北农林科技大学
长江讲座教授,旅游管理学,Dogan Gursoy,西南财经大学
长江讲座教授,应用数学,Jose Carrillo,西南财经大学
长江讲座教授,逻辑学,Thomas Ågotnes,西南大学
长江讲座教授,数学教育,蔡金法,西南大学
长江讲座教授,油气储运工程,程玉峰,西南石油大学
长江讲座教授,计算数学,聂家旺,湘潭大学
长江讲座教授,概率论与数理统计,张春明,云南大学
长江讲座教授,管理科学与工程,张付强,中国科学技术大学
长江讲座教授,金融学（含保险学）,Randall Morck,中南财经政法大学
长江讲座教授,计算机系统结构,李涛,中南大学
长江讲座教授,神经生物学,晏日强,中南大学
长江讲座教授,森林生态学,Yakov Kuzyakov,中南林业科技大学
长江青年学者,植物学,刘琳,安徽大学
长江青年学者,微电子学与固体电子学,蔡一茂,北京大学
长江青年学者,文化遗产,陈建立,北京大学
长江青年学者,病理学与病理生理学,姜长涛,北京大学
长江青年学者,儿科学,金红芳,北京大学
长江青年学者,凝聚态物理,李新征,北京大学
长江青年学者,力学系统与控制,李忠奎,北京大学
长江青年学者,计算机软件与理论,刘譞哲,北京大学
长江青年学者,大气物理学与大气环境,陆克定,北京大学
长江青年学者,管理科学与工程,宋洁,北京大学
长江青年学者,环境科学,万祎,北京大学
长江青年学者,流体力学,王昊,北京大学
长江青年学者,基础数学,王嵬,北京大学
长江青年学者,基础心理学,魏坤琳,北京大学
长江青年学者,数量经济学,虞吉海,北京大学
长江青年学者,汉语言文字学,詹卫东,北京大学
长江青年学者,岩土工程,范立峰,北京工业大学
长江青年学者,固体力学,陈玉丽,北京航空航天大学
长江青年学者,粒子物理与原子核物理,耿立升,北京航空航天大学
长江青年学者,空间物理学,刘文龙,北京航空航天大学
长江青年学者,交通信息工程及控制,田大新,北京航空航天大学
长江青年学者,控制理论与控制工程,贺威,北京科技大学
长江青年学者,冶金物理化学,侯新梅,北京科技大学
长江青年学者,艺术设计学,覃京燕,北京科技大学
长江青年学者,微小光学系统/衍射光学,黄玲玲,北京理工大学
长江青年学者,林产化学加工工程,彭锋,北京林业大学
长江青年学者,凝聚态物理,何林,北京师范大学
长江青年学者,课程与教学论,罗良,北京师范大学
长江青年学者,比较教育学,薛二勇,北京师范大学
长江青年学者,生理学,余佳,北京协和医学院
长江青年学者,中西医结合基础医学,陈建新,北京中医药大学
长江青年学者,地下水科学与工程,李培月,长安大学
长江青年学者,桥梁与隧道工程,王磊,长沙理工大学
长江青年学者,针灸推拿学,曾芳,成都中医药大学
长江青年学者,岩土工程,丁选明,重庆大学
长江青年学者,工业催化,邓德会,大连理工大学
长江青年学者,机械电子工程,刘巍,大连理工大学
长江青年学者,情报学,王贤文,大连理工大学
长江青年学者,化学工艺,于畅,大连理工大学
长江青年学者,工程热物理,赵佳飞,大连理工大学
长江青年学者,免疫学,侯晋,海军军医大学（第二军医大学）
